	PostalCode	Borough	Neighborhood	URL	Title	Latitude	Longitude
160	M4V	Central Toronto	Summerhill West	/wiki/Central_Toronto	Central Toronto, Toronto, Ontario	43.61186780156127	-79.48874670819669
161	M5V	Downtown Toronto	CN Tower	/wiki/CN_Tower	CN Tower, Toronto, Ontario	43.641750000000066	-79.38652999999994
162	M5V	Downtown Toronto	Bathurst Quay	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.635460000000066	-79.39810999999997
163	M5V	Downtown Toronto	Island airport	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.632057620788906	-79.39597303368889
164	M5V	Downtown Toronto	Harbourfront West	/wiki/Downtown_Toronto	Downtown Toronto, Toronto, Ontario	43.639509955566034	-79.38315993782102
165	M5V	Downtown Toronto	King and Spadina	/wiki/King_and_Spadina	King and Spadina, Toronto, Ontario	43.645437	-79.3951425
166	M5V	Downtown Toronto	Railway Lands	/wiki/Railway_Lands	Railway Lands, Toronto, Ontario	43.648690000000045	-79.38543999999995
167	M5V	Downtown Toronto	South Niagara	/wiki/South_Niagara	South Niagara, Toronto, Ontario	43.64437155009448	-79.40897394857937
168	M8V	Etobicoke	Humber Bay Shores	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.62686000000008	-79.47670999999997
169	M8V	Etobicoke	Mimico South	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.61298699778067	-79.49304767739339
170	M8V	Etobicoke	New Toronto	/wiki/New_Toronto	New Toronto, Toronto, Ontario	43.60143000000005	-79.50924999999995
171	M9V	Etobicoke	Albion Gardens	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.69511438318284	-79.28602961898261
172	M9V	Etobicoke	Beaumond Heights	/wiki/Beaumond_Heights	Beaumond Heights, Toronto, Ontario	43.73341000000005	-79.56630999999999
173	M9V	Etobicoke	Humbergate	/wiki/Etobicoke	Etobicoke, Toronto, Ontario	43.647615	-79.51025924999998
174	M9V	Etobicoke	Jamestown	/wiki/Mount_Olive-Silverstone-Jamestown	Mount Olive-Silverstone-Jamestown, Toronto, Ontario	43.734165644934684	-79.58547885283019
175	M9V	Etobicoke	Mount Olive	/wiki/Mount_Olive-Silverstone-Jamestown	Mount Olive-Silverstone-Jamestown, Toronto, Ontario	43.74707409952619	-79.59466460077368
176	M9V	Etobicoke	Silverstone	/wiki/Silverstone,_Toronto	Silverstone, Toronto, Ontario	43.75056265829763	-79.59990083667215
177	M9V	Etobicoke	South Steeles	/wiki/South_Steeles	South Steeles, Toronto, Ontario	43.85217106141843	-79.18412524833424
178	M9V	Etobicoke	Thistletown	/wiki/Thistletown	Thistletown, Toronto, Ontario	43.73341000000005	-79.54960999999997
